,AABW 30S 3750m,NADW 30S 1050m,NADW 30N 1050m,BSF Drake Passage,BSF Weddell Gyre
187,-8.441552,13.661129,27.37018,111.37716,75.86628
188,-9.692076,13.473338,28.04922,114.060368,74.063992
189,-9.612,12.618943,29.824188,115.945768,73.600008
190,-9.385821,12.274517,29.217228,116.755344,71.420136
191,-8.247875,13.054427,28.00121,114.987368,70.601064
192,-8.2202875,11.887338,27.826102,113.450472,73.207664
193,-10.217831,13.782631,26.864428,118.177048,76.574576
194,-9.274235,12.339407,25.696238,115.626856,75.54304
195,-10.710058,11.482448,27.545332,113.933584,76.725528
196,-9.738905,12.483635,26.919994,115.062584,76.790328
197,-11.061766,9.451874,27.411574,115.873016,75.464688
198,-10.571772,12.549317,26.91339,112.978792,85.632936
199,-10.757751,10.93066,28.034086,114.659056,79.457248
200,-13.571897,7.1945805,26.321964,109.38948,82.35164
201,-12.021896,10.956695,26.85609,109.569752,84.775024
202,-11.346841,11.733674,26.324026,106.39144,88.035856
203,-12.884897,10.124378,26.515088,105.486088,85.759256
204,-11.914609,10.495731,24.909908,105.691896,77.408768
205,-12.249263,8.391238,26.41295,104.724592,83.614944
206,-12.132405,10.414469,27.266282,100.784832,86.143376
207,-13.047734,8.560699,25.79965,103.150952,88.620528
208,-11.669381,12.516735,23.863724,104.16604,90.501392
209,-11.934456,11.358745,25.986656,102.943664,90.512432
210,-10.996383,13.293994,25.816608,101.686408,85.551416
211,-10.912242,12.494061,27.040252,102.253072,83.988392
212,-9.857446,13.66481,24.086664,100.846488,84.730584
213,-11.610437,12.063638,23.901232,100.99448,87.542968
214,-9.519969,14.357324,24.915182,101.335192,85.035344
215,-10.096177,12.38726,24.954714,100.670216,86.003248
216,-9.08519,13.780982,26.134528,100.358296,85.253992
217,-8.873992,13.715142,26.746036,100.02548,84.016048
218,-7.4230435,14.184979,25.735486,103.67128,80.010208
219,-6.0833395,16.964558,26.617694,105.006896,80.501272
220,-9.085718,15.457746,24.992196,104.255984,82.36464
221,-8.370498,14.667826,27.633032,105.058992,84.527336
222,-7.399931,15.008494,25.970108,104.159496,84.814936
223,-6.570959,15.778469,27.931078,107.007968,83.669424
224,-7.263648,12.809608,26.11582,105.834152,80.558856
225,-7.228183,16.35843,27.954678,108.734744,83.040168
226,-7.174357,14.081699,25.562392,107.760568,80.128816
227,-7.925598,14.910758,28.755052,107.751264,79.021568
228,-8.656702,13.779752,27.784976,110.051568,75.954952
229,-6.649568,12.867429,28.398062,112.664072,75.438352
230,-10.511714,11.956452,26.80857,113.665168,74.85372
231,-7.903409,12.48293,25.261558,113.724288,72.5042
232,-8.3773025,13.705655,24.95453,116.872704,79.16028
233,-9.693089,11.520785,24.99018,115.403624,73.811112
234,-7.4673935,13.974534,28.299628,116.596872,80.02796
235,-8.486734,12.71777,25.865644,119.408056,74.026656
236,-9.587926,11.150491,24.545206,118.886592,73.893872
237,-8.620583,13.432287,24.79782,119.313088,70.43248
238,-9.473406,12.384521,26.567796,117.661976,75.753072
239,-10.569724,10.762823,25.479778,119.297744,76.540496
240,-10.925676,11.84905,24.151194,116.296848,76.578016
241,-12.758348,7.7167165,23.904274,118.661784,72.817432
242,-11.93631,8.613621,24.08008,115.753096,78.174192
243,-11.90555,10.79842,25.288196,114.00172,83.236776
244,-13.40089,7.240008,23.208972,109.856912,86.779264
245,-12.321214,11.421556,25.058786,114.06968,88.926576
246,-14.414081,9.535854,22.760578,108.78664,88.41116
247,-12.468524,9.953572,23.489648,109.298288,86.913216
248,-13.649771,9.852204,24.050306,108.471536,87.259896
249,-13.317157,9.577277,24.814216,109.344776,88.284824
250,-13.997667,10.211857,24.712764,109.65096,89.467
251,-13.76194,11.161088,22.707982,105.579656,88.618312
252,-13.577825,10.868068,26.264768,106.687368,87.341416
253,-12.992635,10.671228,23.976584,105.238216,93.058008
254,-14.02081,9.829552,26.7337,105.531064,90.081656
255,-11.14461,12.196448,25.200196,104.558824,84.58144
256,-13.608896,13.148611,28.273744,104.889544,82.818872
257,-11.329212,11.673794,23.912206,104.651328,85.844024
258,-12.654052,12.994533,26.230234,104.851536,87.877792
259,-13.050462,10.952946,25.868122,105.460616,83.096112
260,-12.127724,13.304816,24.888682,104.1972,84.150144
261,-12.093395,13.254002,25.164778,103.643568,82.760184
262,-11.181036,12.62306,26.547794,106.960992,81.95812
263,-10.867241,14.901592,24.788026,106.523704,88.028072
264,-10.199292,14.376301,25.339236,105.033552,82.11492
265,-10.783765,13.104867,22.372994,105.002352,83.76404
266,-9.948882,13.034932,25.525346,107.545704,82.14316
267,-11.087202,15.215031,27.121746,108.205952,85.035208
268,-10.893281,12.274248,24.97967,108.06284,80.969576
269,-11.077911,12.159503,27.089452,107.86032,79.775224
270,-9.788186,13.760548,27.737142,108.268968,80.68904
271,-8.703625,14.038426,26.475672,107.962048,79.272288
272,-9.004256,14.346691,27.82303,110.967208,78.25492
273,-8.803921,14.330162,28.840486,110.590104,75.075024
274,-9.127496,12.978263,25.3535,113.032288,75.45676
275,-9.185186,13.830651,26.814758,113.449864,76.984224
276,-9.567855,13.429876,24.482312,115.897408,77.057584
277,-9.508913,11.002469,24.922778,114.748512,76.417856
278,-9.971616,13.047079,24.655952,116.6606,71.741808
279,-9.515206,12.561489,24.380698,118.237416,75.347488
280,-11.63492,10.242941,26.906956,115.455296,73.57068
281,-13.044995,7.27802,22.807964,115.734328,74.03936
282,-10.345899,12.11265,24.03513,117.817568,77.89556
283,-10.8267,11.909601,27.667668,118.133688,74.106232
284,-10.773119,9.86974,27.244856,114.900296,73.378568
285,-11.181205,11.086974,24.274668,116.288056,77.486344
286,-11.207594,11.402865,23.057784,115.187128,85.51308
287,-12.787084,10.826254,23.712434,112.564008,81.141832
288,-15.326459,9.626295,25.098146,107.180208,88.099144
289,-13.64234,9.720353,23.82987,110.29812,81.906648
290,-12.628817,10.624436,24.819044,108.660288,82.961208
291,-15.032307,7.450792,24.14364,103.857944,88.097992
292,-13.175719,10.654734,26.168414,108.98084,92.4282
293,-13.867237,9.877402,25.628688,108.348544,87.099744
294,-13.469604,13.988567,23.833246,107.401496,86.100288
295,-12.896016,10.616162,24.020058,105.292,88.106968
296,-12.867276,11.460481,24.132808,105.299328,84.15844
297,-14.898505,11.430958,24.499336,105.603208,90.681144
298,-12.939319,13.777433,23.544382,106.898584,86.22452
299,-12.493739,12.474739,24.754092,105.649928,83.953192
300,-12.003558,14.198877,24.40073,106.056608,86.177136
301,-11.002677,16.553637,23.151272,106.293784,82.815392
302,-11.574747,13.479159,22.50753,105.879192,85.754904
303,-12.394568,11.617162,23.75012,104.523344,87.598216
304,-12.2112,12.911799,24.11406,104.733808,86.419632
305,-12.284186,13.205826,23.004926,103.678656,87.470288
306,-11.873428,15.282361,24.17695,105.32264,85.115128
307,-12.412515,13.464199,24.41654,106.487488,82.62372
308,-11.00502,14.7678,22.96972,105.555896,85.721576
309,-10.927474,12.176525,23.503594,105.127936,83.202952
310,-9.936515,13.106904,23.37778,106.553984,82.742992
311,-10.208942,13.625235,24.19388,106.865144,82.90752
312,-12.031934,13.55141,23.969104,107.22732,79.785648
313,-10.168534,14.076185,24.362548,107.688656,79.927888
314,-9.907001,13.32466,25.794094,108.149992,80.07012
