year,month,XMXL WMASK mnthly
 89, 9,  0.1224726E+05
 89,10,  0.1187846E+05
 89,11,  0.1054893E+05
 89,12,  0.6459866E+04
 90, 1,  0.4120743E+04
 90, 2,  0.4585828E+04
 90, 3,  0.5936113E+04
 90, 4,  0.9611100E+04
 90, 5,  0.1950494E+05
 90, 6,  0.2046235E+05
 90, 7,  0.1819660E+05
 90, 8,  0.1373067E+05
 90, 9,  0.1249248E+05
 90,10,  0.1206810E+05
 90,11,  0.1064189E+05
 90,12,  0.6507464E+04
 91, 1,  0.4135893E+04
 91, 2,  0.4606288E+04
 91, 3,  0.5975947E+04
 91, 4,  0.9228248E+04
 91, 5,  0.1969648E+05
 91, 6,  0.2059467E+05
 91, 7,  0.1721902E+05
 91, 8,  0.1356017E+05
 91, 9,  0.1338931E+05
 91,10,  0.1211586E+05
 91,11,  0.1053810E+05
 91,12,  0.6400600E+04
 92, 1,  0.4160479E+04
 92, 2,  0.4622402E+04
 92, 3,  0.5962917E+04
 92, 4,  0.8610242E+04
 92, 5,  0.1907518E+05
 92, 6,  0.2000602E+05
 92, 7,  0.1771229E+05
 92, 8,  0.1537736E+05
 92, 9,  0.1545546E+05
 92,10,  0.1322241E+05
 92,11,  0.1061799E+05
 92,12,  0.6437236E+04
 93, 1,  0.4124867E+04
 93, 2,  0.4617341E+04
 93, 3,  0.5973457E+04
 93, 4,  0.1013560E+05
 93, 5,  0.1937250E+05
 93, 6,  0.2042673E+05
 93, 7,  0.1955862E+05
 93, 8,  0.1655373E+05
 93, 9,  0.1573362E+05
 93,10,  0.1370217E+05
 93,11,  0.1053381E+05
 93,12,  0.6317226E+04
 94, 1,  0.4123949E+04
 94, 2,  0.4619053E+04
 94, 3,  0.5940005E+04
 94, 4,  0.9512735E+04
 94, 5,  0.1969099E+05
 94, 6,  0.2087369E+05
 94, 7,  0.1969464E+05
 94, 8,  0.1695888E+05
 94, 9,  0.1653987E+05
 94,10,  0.1406857E+05
 94,11,  0.1078317E+05
 94,12,  0.6431804E+04
 95, 1,  0.4150742E+04
 95, 2,  0.4637005E+04
 95, 3,  0.6017806E+04
 95, 4,  0.8985213E+04
 95, 5,  0.1969791E+05
 95, 6,  0.2243263E+05
 95, 7,  0.2178533E+05
 95, 8,  0.1744918E+05
 95, 9,  0.1651048E+05
 95,10,  0.1425428E+05
 95,11,  0.1070678E+05
 95,12,  0.6300238E+04
 96, 1,  0.4138152E+04
 96, 2,  0.4626400E+04
 96, 3,  0.5978855E+04
 96, 4,  0.8947576E+04
 96, 5,  0.2045000E+05
 96, 6,  0.2320552E+05
 96, 7,  0.2169518E+05
 96, 8,  0.1660894E+05
 96, 9,  0.1555365E+05
 96,10,  0.1344635E+05
 96,11,  0.1065862E+05
 96,12,  0.6367594E+04
 97, 1,  0.4146337E+04
 97, 2,  0.4626998E+04
 97, 3,  0.6013566E+04
 97, 4,  0.9353696E+04
 97, 5,  0.2177711E+05
 97, 6,  0.2348072E+05
 97, 7,  0.2079207E+05
 97, 8,  0.1527092E+05
 97, 9,  0.1441174E+05
 97,10,  0.1292366E+05
 97,11,  0.1072226E+05
 97,12,  0.6416473E+04
 98, 1,  0.4167222E+04
 98, 2,  0.4642998E+04
 98, 3,  0.5986889E+04
 98, 4,  0.9912287E+04
 98, 5,  0.2229675E+05
 98, 6,  0.2266488E+05
 98, 7,  0.1946573E+05
 98, 8,  0.0000000E+00
 98, 9,  0.1335337E+05
 98,10,  0.1241272E+05
 98,11,  0.1065966E+05
 98,12,  0.6379193E+04
 99, 1,  0.4134671E+04
 99, 2,  0.4614883E+04
 99, 3,  0.5960917E+04
 99, 4,  0.1071318E+05
 99, 5,  0.2239512E+05
 99, 6,  0.2332973E+05
 99, 7,  0.1928032E+05
 99, 8,  0.1489088E+05
 99, 9,  0.1470366E+05
 99,10,  0.1284629E+05
 99,11,  0.1074730E+05
 99,12,  0.6499678E+04
100, 1,  0.4157061E+04
100, 2,  0.4628542E+04
100, 3,  0.5990944E+04
100, 4,  0.1092171E+05
100, 5,  0.2308768E+05
100, 6,  0.2429455E+05
100, 7,  0.2084466E+05
100, 8,  0.1592577E+05
100, 9,  0.1561008E+05
100,10,  0.1326564E+05
100,11,  0.1057238E+05
100,12,  0.6376960E+04
101, 1,  0.4174769E+04
101, 2,  0.4623093E+04
101, 3,  0.5978875E+04
101, 4,  0.1067790E+05
101, 5,  0.2309956E+05
101, 6,  0.2354473E+05
101, 7,  0.1977075E+05
101, 8,  0.1686558E+05
101, 9,  0.1672704E+05
101,10,  0.1358051E+05
101,11,  0.1066948E+05
101,12,  0.6386378E+04
102, 1,  0.4133252E+04
102, 2,  0.4630921E+04
102, 3,  0.5966334E+04
102, 4,  0.9165595E+04
102, 5,  0.2119500E+05
102, 6,  0.2281251E+05
102, 7,  0.1987909E+05
102, 8,  0.1793388E+05
102, 9,  0.1780075E+05
102,10,  0.1495066E+05
102,11,  0.1073621E+05
102,12,  0.6459077E+04
103, 1,  0.4149935E+04
103, 2,  0.4618264E+04
103, 3,  0.5959408E+04
103, 4,  0.1050383E+05
103, 5,  0.2151851E+05
103, 6,  0.2140864E+05
103, 7,  0.1970235E+05
